Date,Open,High,Low,Close,Adj Close,Volume
1992-01-22,0.539063,0.679688,0.539063,0.632813,0.470407,168022400
1992-01-23,0.656250,0.710938,0.632813,0.687500,0.511060,38368000
1992-01-24,0.695313,0.726563,0.671875,0.695313,0.516867,12044800
1992-01-27,0.726563,0.750000,0.695313,0.750000,0.557519,10716800
1992-01-28,0.742188,0.757813,0.710938,0.734375,0.545904,19913600
1992-01-29,0.710938,0.734375,0.679688,0.679688,0.505252,13238400
1992-01-30,0.687500,0.695313,0.609375,0.609375,0.452984,10848000
1992-01-31,0.625000,0.648438,0.609375,0.648438,0.482022,2496000
1992-02-03,0.656250,0.656250,0.632813,0.640625,0.476214,2320000
1992-02-04,0.648438,0.679688,0.648438,0.679688,0.505252,2499200
1992-02-05,0.679688,0.679688,0.664063,0.664063,0.493637,1148800
1992-02-06,0.679688,0.687500,0.664063,0.687500,0.511060,5504000
1992-02-07,0.671875,0.687500,0.648438,0.648438,0.482022,4560000
1992-02-10,0.648438,0.671875,0.609375,0.617188,0.458792,14140800
1992-02-11,0.617188,0.617188,0.562500,0.562500,0.418140,9868800
1992-02-12,0.570313,0.570313,0.546875,0.570313,0.423947,3942400
1992-02-13,0.570313,0.570313,0.539063,0.554688,0.412332,3241600
1992-02-14,0.562500,0.562500,0.531250,0.535156,0.397813,13753600
1992-02-18,0.546875,0.546875,0.476563,0.492188,0.365872,3046400
1992-02-19,0.476563,0.523438,0.476563,0.507813,0.377487,4284800
1992-02-20,0.562500,0.601563,0.546875,0.570313,0.423947,4784000
1992-02-21,0.570313,0.593750,0.554688,0.593750,0.441370,1865600
1992-02-24,0.593750,0.640625,0.585938,0.601563,0.447177,3129600
1992-02-25,0.617188,0.617188,0.546875,0.546875,0.406525,3129600
1992-02-26,0.539063,0.562500,0.539063,0.546875,0.406525,1657600
1992-02-27,0.562500,0.562500,0.539063,0.554688,0.412332,204800
1992-02-28,0.546875,0.562500,0.539063,0.554688,0.412332,227200
1992-03-02,0.562500,0.562500,0.500000,0.507813,0.377487,5177600
1992-03-03,0.515625,0.539063,0.500000,0.539063,0.400717,531200
1992-03-04,0.539063,0.562500,0.515625,0.546875,0.406525,464000
1992-03-05,0.539063,0.562500,0.531250,0.531250,0.394910,454400
1992-03-06,0.523438,0.546875,0.500000,0.515625,0.383294,1744000
1992-03-09,0.515625,0.554688,0.500000,0.546875,0.406525,1078400
1992-03-10,0.531250,0.609375,0.531250,0.585938,0.435562,1542400
1992-03-11,0.601563,0.601563,0.554688,0.554688,0.412332,1020800
1992-03-12,0.542969,0.542969,0.515625,0.539063,0.400717,5561600
1992-03-13,0.523438,0.539063,0.523438,0.531250,0.394910,1744000
1992-03-16,0.546875,0.546875,0.523438,0.523438,0.389102,835200
1992-03-17,0.523438,0.546875,0.523438,0.523438,0.389102,396800
1992-03-18,0.546875,0.546875,0.519531,0.527344,0.392006,630400
1992-03-19,0.570313,0.601563,0.539063,0.601563,0.447177,3443200
1992-03-20,0.601563,0.601563,0.527344,0.531250,0.394910,2876800
1992-03-23,0.546875,0.546875,0.523438,0.539063,0.400717,608000
1992-03-24,0.562500,0.578125,0.515625,0.531250,0.394910,2704000
1992-03-25,0.539063,0.539063,0.507813,0.531250,0.394910,960000
1992-03-26,0.531250,0.531250,0.507813,0.531250,0.394910,150400
1992-03-27,0.507813,0.523438,0.453125,0.476563,0.354257,3897600
1992-03-30,0.468750,0.507813,0.468750,0.507813,0.377487,3225600
1992-03-31,0.507813,0.554688,0.492188,0.515625,0.383294,9430400
1992-04-01,0.500000,0.515625,0.484375,0.488281,0.362968,3820800
1992-04-02,0.484375,0.507813,0.468750,0.468750,0.348450,3200000
1992-04-03,0.453125,0.476563,0.453125,0.476563,0.354257,6723200
1992-04-06,0.476563,0.484375,0.460938,0.484375,0.360065,3872000
1992-04-07,0.468750,0.484375,0.406250,0.406250,0.301990,2460800
1992-04-08,0.406250,0.414063,0.351563,0.414063,0.307797,4124800
1992-04-09,0.429688,0.437500,0.398438,0.429688,0.319412,1187200
1992-04-10,0.437500,0.437500,0.406250,0.421875,0.313605,3033600
1992-04-13,0.421875,0.421875,0.390625,0.390625,0.290375,483200
1992-04-14,0.421875,0.421875,0.390625,0.390625,0.290375,534400
1992-04-15,0.421875,0.421875,0.390625,0.390625,0.290375,1961600
1992-04-16,0.421875,0.421875,0.343750,0.367188,0.272953,2217600
1992-04-20,0.367188,0.367188,0.328125,0.343750,0.255530,3571200
1992-04-21,0.328125,0.351563,0.324219,0.351563,0.261338,19568000
