Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,8.328744,8.272595,8.310028,1.079928,40740
1962-01-03,0.000000,8.403609,8.328744,8.403609,1.092089,83483
1962-01-04,0.000000,8.534623,8.422326,8.459758,1.099385,74801
1962-01-05,0.000000,8.534623,8.422326,8.441042,1.096953,42744
1962-01-08,0.000000,8.534623,8.347460,8.478474,1.101818,90830
1962-01-09,0.000000,8.515907,8.422326,8.459758,1.099385,62780
1962-01-10,0.000000,8.459758,8.272595,8.291312,1.077496,38736
1962-01-11,0.000000,8.310028,8.197730,8.291312,1.077496,46751
1962-01-12,0.000000,8.347460,8.197730,8.216447,1.067766,30054
1962-01-15,0.000000,8.216447,8.010567,8.066716,1.048307,36733
1962-01-16,0.000000,8.066716,7.954419,7.954419,1.033713,26047
1962-01-17,0.000000,7.973135,7.954419,7.973135,1.036147,39404
1962-01-18,0.000000,7.973135,7.954419,7.973135,1.036147,31390
1962-01-19,0.000000,8.010567,7.973135,7.973135,1.036147,38068
1962-01-22,0.000000,7.973135,7.879553,7.879553,1.023985,50758
1962-01-23,0.000000,7.898270,7.860837,7.879553,1.023985,43411
1962-01-24,0.000000,7.823405,7.729823,7.804688,1.014256,48754
1962-01-25,0.000000,7.823405,7.785972,7.785972,1.011824,41408
1962-01-26,0.000000,7.785972,7.711107,7.711107,1.002094,54765
1962-01-29,0.000000,7.767256,7.673674,7.729823,1.004526,32058
1962-01-30,0.000000,7.842121,7.748540,7.842121,1.019121,34729
1962-01-31,0.000000,7.973135,7.804688,7.954419,1.033713,60776
1962-02-01,0.000000,8.029284,7.879553,7.954419,1.033713,66119
1962-02-02,0.000000,8.010567,7.916986,7.973135,1.036147,36733
1962-02-05,0.000000,8.048000,7.954419,8.048000,1.045875,50090
1962-02-06,0.000000,8.029284,7.991851,8.029284,1.052253,38736
1962-02-07,0.000000,8.122865,7.991851,8.122865,1.064517,57437
1962-02-08,0.000000,8.160298,8.085433,8.122865,1.064517,71462
1962-02-09,0.000000,8.141581,8.104149,8.104149,1.062064,35397
1962-02-12,0.000000,8.122865,8.085433,8.104149,1.062064,20704
1962-02-13,0.000000,8.104149,8.048000,8.048000,1.054706,48086
1962-02-14,0.000000,8.048000,7.879553,7.879553,1.032631,40072
1962-02-15,0.000000,7.954419,7.804688,7.898270,1.035083,54765
1962-02-16,0.000000,7.935702,7.823405,7.842121,1.027725,94169
1962-02-19,0.000000,8.010567,7.860837,7.879553,1.032631,66787
1962-02-20,0.000000,7.860837,7.804688,7.842121,1.027725,57437
1962-02-21,0.000000,7.785972,7.673674,7.692391,1.008102,83483
1962-02-23,0.000000,7.711107,7.523944,7.561377,0.990933,106859
1962-02-26,0.000000,7.598809,7.392930,7.430363,0.973763,112870
1962-02-27,0.000000,7.636242,7.430363,7.561377,0.990933,96173
1962-02-28,0.000000,7.729823,7.598809,7.729823,1.013008,103520
1962-03-01,0.000000,7.767256,7.654958,7.711107,1.010555,96841
1962-03-02,0.000000,7.729823,7.673674,7.673674,1.005650,68123
1962-03-05,0.000000,7.711107,7.561377,7.598809,0.995838,80812
1962-03-06,0.000000,7.598809,7.449079,7.486512,0.981121,84151
1962-03-07,0.000000,7.486512,7.336781,7.374214,0.966405,100848
1962-03-08,0.000000,7.561377,7.336781,7.505228,0.983574,49422
1962-03-09,0.000000,7.598809,7.505228,7.542660,0.988481,60776
1962-03-12,0.000000,7.542660,7.411647,7.411647,0.971310,68790
1962-03-13,0.000000,7.561377,7.411647,7.505228,0.983574,72130
1962-03-14,0.000000,7.561377,7.299349,7.523944,0.986027,116209
